Selection	View	Channel	Begin Path	File Duration (s)	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence
104	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	2520.0	2523.0	0	8000.0	chiwed2	Chirruping Wedgebill	0.9724
105	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	2523.0	2526.0	0	8000.0	chiwed2	Chirruping Wedgebill	0.2964
106	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	2526.0	2529.0	0	8000.0	chiwed2	Chirruping Wedgebill	0.9864
107	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	2529.0	2532.0	0	8000.0	chiwed2	Chirruping Wedgebill	0.9989
108	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	2535.0	2538.0	0	8000.0	chiwed2	Chirruping Wedgebill	0.9911
109	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	2541.0	2544.0	0	8000.0	chiwed2	Chirruping Wedgebill	0.8317
110	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	2544.0	2547.0	0	8000.0	chiwed2	Chirruping Wedgebill	0.4930
111	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	2550.0	2553.0	0	8000.0	chiwed2	Chirruping Wedgebill	0.8588
112	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	2553.0	2556.0	0	8000.0	chiwed2	Chirruping Wedgebill	0.9805
113	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	2556.0	2559.0	0	8000.0	chiwed2	Chirruping Wedgebill	0.6945
114	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	2559.0	2562.0	0	8000.0	chiwed2	Chirruping Wedgebill	0.9911
115	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	2568.0	2571.0	0	8000.0	chiwed2	Chirruping Wedgebill	0.6535
116	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	2577.0	2580.0	0	8000.0	chiwed2	Chirruping Wedgebill	0.9889
117	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	2580.0	2583.0	0	8000.0	chiwed2	Chirruping Wedgebill	0.9794
118	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	2586.0	2589.0	0	8000.0	chiwed2	Chirruping Wedgebill	0.2299
119	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	2589.0	2592.0	0	8000.0	chiwed2	Chirruping Wedgebill	0.9881
120	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	2592.0	2595.0	0	8000.0	chiwed2	Chirruping Wedgebill	0.9826
121	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	2595.0	2598.0	0	8000.0	chiwed2	Chirruping Wedgebill	0.9952
122	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	2625.0	2628.0	0	8000.0	chiwed2	Chirruping Wedgebill	0.9886
123	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	2631.0	2634.0	0	8000.0	chiwed2	Chirruping Wedgebill	0.6932
124	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	2634.0	2637.0	0	8000.0	chiwed2	Chirruping Wedgebill	0.8860
125	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	2649.0	2652.0	0	8000.0	chiwed2	Chirruping Wedgebill	0.8354
126	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	2652.0	2655.0	0	8000.0	chiwed2	Chirruping Wedgebill	0.4671
127	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	2655.0	2658.0	0	8000.0	chiwed2	Chirruping Wedgebill	0.9371
128	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	2661.0	2664.0	0	8000.0	chiwed2	Chirruping Wedgebill	0.4332
129	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	2664.0	2667.0	0	8000.0	chiwed2	Chirruping Wedgebill	0.9875
130	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	2667.0	2670.0	0	8000.0	chiwed2	Chirruping Wedgebill	0.9892
131	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	2670.0	2673.0	0	8000.0	chiwed2	Chirruping Wedgebill	0.7677
132	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	2688.0	2691.0	0	8000.0	chiwed2	Chirruping Wedgebill	0.9387
133	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	2694.0	2697.0	0	8000.0	chiwed2	Chirruping Wedgebill	0.5141
134	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	2697.0	2700.0	0	8000.0	chiwed2	Chirruping Wedgebill	0.3512
135	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	2700.0	2703.0	0	8000.0	chiwed2	Chirruping Wedgebill	0.8869
136	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	2709.0	2712.0	0	8000.0	chiwed2	Chirruping Wedgebill	0.9677
137	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	2709.0	2712.0	0	8000.0	zebfin2	Zebra Finch	0.9137
